Column,Layer,TDC_id,TDC_Ch_id,T0[ns],TMax[ns],ADC_peak[ns],ADC_width[ns],Resolution[um],Efficiency
22,8,27,17,278.6992035053475,202.27513455765893,140.94451048939922,21.613478653948473,112.0076152059544,0.9902986333727012
23,1,26,22,289.12394729042927,190.187848169525,162.30449476400145,26.626248026301127,107.49574449018927,0.980431057805032
23,2,26,23,289.808574468784,190.09511609871913,160.869930981202,23.36107150769363,103.65854266381606,0.9875411586722435
23,3,26,20,290.50037644377835,191.1080284125415,182.9856120830978,27.63033692242675,109.55651888182551,0.9933309300648883
23,4,26,21,286.1294930714882,192.20294159692844,131.0080848454739,21.951453516311076,107.40714744141225,0.9916474142527102
23,5,27,22,278.35779025939996,201.57927465614324,150.94622919115434,23.482233380971827,111.89581921796866,0.9931286422545011
23,6,27,23,282.2393881086283,202.3975954276508,185.4838681738198,26.639476405457877,110.81846318499136,0.9907262957184954
23,7,27,20,279.98882612065614,202.53626013094606,152.87859033272554,22.342225091453365,107.67417713310589,0.9931016862544711
23,8,27,21,281.10858009237467,202.60969226680083,162.42688844744964,23.349246977426624,111.60831242114921,0.9893817434492208
24,1,28,2,284.63079307368236,191.5009487719588,139.00074616301254,22.447324311692547,112.10107401329363,0.981950742420201
24,2,28,3,283.56663063304245,190.4980057464585,128.07982272032336,20.86077231256667,108.60647519582389,0.9900376952073237
24,3,28,0,287.0763540062395,188.7936778024167,160.01249318962513,25.50759202385445,105.87479069333766,0.9936221100186022
24,4,28,1,281.63605339221283,189.55852616367014,110.60759683360865,18.12006875065009,115.9140204613727,0.9916873010258225
24,5,29,2,279.255022830466,201.64601745767408,146.7128355962352,22.367345875518858,105.80326743795743,0.9929220552254456
24,6,29,3,280.66643247378397,202.34798766615103,164.16458398506688,25.181412514037866,110.68066442087394,0.9947368421052631
24,7,29,0,277.78737137925435,202.92309880144188,137.56061132940522,21.615478694576094,102.84489555713404,0.9952957574701629
24,8,29,1,276.97783948160014,201.8392320734735,133.31436571922126,21.265670878126897,108.76912894254816,0.9896238651102465
25,1,28,6,286.97963451133467,189.70167696083763,157.8085607593564,24.404033310668353,111.92853691974713,0.9843299711815562
25,2,28,7,286.55158888790214,190.64547464748375,148.29336453198957,21.19614717760426,109.32350893146945,0.9894679989197948
25,3,28,4,285.75277074586614,188.5125215923369,148.79845944789184,23.773003650522977,108.71748236996002,0.9937084307028582
25,4,28,5,284.4519196638724,191.57175995546078,139.77698879417312,23.205893873437084,109.90721434041482,0.9908663651680412
25,5,29,6,276.8489979198009,203.15812321239417,136.4257723600858,22.228619353414906,107.16158851571655,0.9925333801827125
25,6,29,7,278.95396948770593,203.17007015905722,141.1338291939363,20.989455003982176,110.0144234177201,0.9943402900601345
25,7,29,4,281.29772390056735,202.006273311389,172.01034741040496,26.477549186530013,107.82522532217298,0.9928302876628486
25,8,29,5,278.31341460086355,201.0360941610761,140.19048079717535,23.175701736966403,112.3759055116019,0.9903846153846154
26,1,28,10,285.3673915234994,187.86224499126462,136.477416845893,21.797725120726245,115.03896267118667,0.9814016172506739
26,2,28,11,288.8763295918679,190.55623459428665,179.18829532915726,25.145299547904784,114.60392366990328,0.9891431135038133
26,3,28,8,282.3478796985359,190.5910353572786,118.91112059071374,18.093055534875347,110.30932299486497,0.9934069850320741
26,4,28,9,282.95103497515686,191.43062214964647,124.24749034142054,19.10699344133847,112.50293417108405,0.9920127795527156
26,5,29,10,283.7598153396318,201.91539099164714,195.13496822167244,27.82731443325495,116.7399940021668,0.9929515418502203
26,6,29,11,280.7599095322175,202.9791916714292,169.3104082680844,27.284894013241313,101.87420377172506,0.9944993553932101
26,7,29,8,279.8681291459633,202.26525215340558,154.47513218916762,23.093231701210073,103.78675927282345,0.9933217692974848
26,8,29,9,278.28205386076996,204.11495923030435,144.09577752079272,23.4840594985897,108.43829547451284,0.9895896590613342
27,1,28,14,284.9823932954905,189.39338626335564,141.08991442512902,21.854618704866525,113.08313824902179,0.9800325262016625
27,2,28,15,285.98410233666135,189.08733629825264,155.99927999005084,22.744390799555184,104.55550011945655,0.9873235637867481
27,3,28,12,288.44855106984465,188.60419445602514,173.3709317828435,25.60507569615147,109.50961281418213,0.9936782120915324
27,4,28,13,285.99158403789045,190.51000154319473,146.56222261678369,22.64019876418922,110.13863459082854,0.9925386391899094
27,5,29,14,280.4887126426592,201.2746030248635,167.5415511541651,26.546228173909206,108.32226378128024,0.9935523220353751
27,6,29,15,281.2142933793023,201.1537844784345,163.25591428531587,22.642099121532496,106.20544495807955,0.9954092680814205
27,7,29,12,276.56630533404007,203.14527791762134,124.54276970559152,20.428078012349886,100.94918903169979,0.9939114551622162
27,8,29,13,280.37552185053056,200.7855172825254,156.2670455514366,25.17320480697,109.09117482433831,0.9886498390648822
28,1,28,18,287.5526656867257,190.73974205639462,170.29145370515562,27.605003426066016,113.14788113833094,0.9839928057553957
28,2,28,19,287.08775979708184,189.5402200623151,170.2509839418405,27.18973649186026,103.38963914535871,0.9896657081236521
28,3,28,16,285.28433370798194,189.68868515322384,146.87456423640702,23.53127770182254,104.43950188730737,0.994699964067553
28,4,28,17,287.99187518155736,189.51857752534983,161.73040610388256,24.23798646274081,116.24535989174895,0.9919101123595505
28,5,29,18,281.30706143223455,202.8025503027058,178.11323492350596,27.60529478777076,112.41963731314723,0.9936791064161399
28,6,29,19,280.9142402526075,201.35818013247479,176.37925243296442,26.264138883385836,106.97728451863715,0.9938618483617186
28,7,29,16,279.37673663034747,202.13647150721084,155.12773135967834,24.64630303497503,102.01420829060605,0.9934035809132186
28,8,29,17,281.8293604323949,201.26181501240563,179.51692928006997,27.50660599161838,110.0343596230068,0.9913851927669737
29,1,28,22,285.4085903884053,189.2814794717209,145.77631129175262,22.87215100910189,110.70624208733511,0.9829845313921747
29,2,28,23,288.64618464847854,190.6830106693825,176.8199272007668,25.56694263493543,113.42354322556756,0.9888344226579521
29,3,28,20,282.05874118020705,189.36879345719012,122.18171186120391,19.163114508989622,110.79716520861888,0.992305627628165
29,4,28,21,286.2684227178045,189.895233547965,154.2375219336575,24.525395589799714,111.78404973464465,0.992320057153063
29,5,29,22,278.98450419918953,202.3472133009322,151.11114619319727,23.590871584844322,110.14908873035915,0.9925476603119584
29,6,29,23,277.78906591349937,203.48392447901995,141.0055782649133,20.586742556657175,101.28607388427513,0.9944260581780178
29,7,29,20,277.20438897907707,202.6939372357126,138.71994985378566,22.0143853956791,99.26644796115022,0.9936919273719206
29,8,29,21,279.25947510934316,202.99090775365255,146.55001373677953,23.684187337012617,109.84553987779971,0.9895283427087841
